BLDGFREXH	2	HMFULLFEI	9	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HM751, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1FEI, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRH	2	HMFULL	12	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRHMT	1	HMFULL	4	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRHR	2	FK	9	5E, 3T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BLDGFRHRT	1	FK	3	5E, 3T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BLDGFRSME	4	HMADAPTFEI	18	2E, 1T, 2XT, 1ALS, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1FEI, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
BLDGFRSMT	1	FJ	6	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BOATFIRE	4	FE	13	2E, 1T, 1E, 1FS
BOATFIREB	4	FF	13	2E, 1T, 1XT, 1CWFULL, 1FS
BOATFIREM	3	FDMULTP	13	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
BOATFROUB	4	FC	3	1E, 1XT, 1FS, 1E, 1XT
BOATFROUM	3	FDMULTP	3	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
BOATFROUT	5	SE	3	1E, 1ECC, 1FS
BOGS	5	SE	3	1E, 1ECC, 1FS
BOGSB	5	FC	3	1E, 1XT, 1FS, 1E, 1XT
BOGSM	3	FX	3	1E, 1ALS, 2XT, 1FS
BOMBT	3	EX	20	1BU700, 1FEI, 1SOPS, 1UAS
BRUSHLG	4	BRUSHLG	35	2E, 1W, 2B, 1XT, 1BC, 1DC, 1CWFULL, 1UAS
BRUSHLGB	3	BRUSHLG	29	2E, 1W, 2B, 1XT, 1BC, 1DC, 1CWFULL, 1UAS
BRUSHLGM	3	BRUSHLG1	7	2E, 1W, 2B, 1ALS, 2XT, 1BC, 1DC, 1CWFULL, 1UAS
BRUSHS	5	SE	25	1E, 1ECC, 1FS
BRUSHSMB	4	FC	17	1E, 1XT, 1FS, 1E, 1XT
BRUSHSMI	4	FC	2	1E, 1XT, 1FS, 1E, 1XT
BRUSHSMM	3	FX	1	1E, 1ALS, 2XT, 1FS
BTFIREWTR	4	BOATFIRE	27	2BT, 2SW, 1E, 1ALS, 1XT, 1CWFULL, 1SOPS, 1WRT, 1UAS
BUILDING	2	FJ	38	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
BURN1	3	AL1D	2	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
